                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    135,                 1.2748,                0.99233,                 1.3174,                0.84191,                0.83956,                0.90888,                0.61567,                 1.0955,                0.70612,                 1.2064,             0.00019271,             0.00019271,             0.00019271
                    136,                 1.2567,                0.98081,                 1.3074,                0.84429,                0.83517,                0.90686,                0.61367,                  1.098,                0.70962,                 1.2065,              0.0001817,              0.0001817,              0.0001817
                    137,                   1.26,                0.96917,                  1.309,                 0.8501,                0.83856,                0.91208,                0.61823,                  1.095,                0.70094,                 1.2022,              0.0001707,              0.0001707,              0.0001707
                    138,                 1.2611,                0.97958,                 1.3069,                0.84482,                0.84608,                0.91398,                0.62095,                 1.0884,                 0.6967,                 1.1968,              0.0001597,              0.0001597,              0.0001597
                    139,                 1.2665,                0.98253,                 1.3054,                  0.846,                 0.8468,                0.91401,                  0.623,                 1.0849,                0.69225,                 1.1962,              0.0001487,              0.0001487,              0.0001487
                    140,                 1.2576,                0.97311,                 1.3063,                0.85957,                0.84093,                0.91616,                0.62596,                 1.0838,                0.68796,                 1.1957,             0.00013769,             0.00013769,             0.00013769
                    141,                 1.2514,                0.90313,                 1.3156,                0.85894,                0.83218,                0.91146,                0.61816,                 1.0962,                0.70164,                 1.2022,             0.00012669,             0.00012669,             0.00012669
                    142,                 1.2148,                0.86695,                 1.3008,                0.86211,                0.83122,                0.91332,                 0.6203,                 1.0934,                0.69701,                 1.1993,             0.00011569,             0.00011569,             0.00011569
                    143,                 1.2003,                0.85823,                 1.2868,                0.86287,                0.83886,                0.91607,                0.62394,                 1.0867,                0.69056,                 1.1958,             0.00010469,             0.00010469,             0.00010469
                    144,                 1.1934,                0.84246,                 1.2867,                0.86441,                0.83667,                0.91752,                0.62673,                 1.0762,                0.68276,                 1.1908,             9.3685e-05,             9.3685e-05,             9.3685e-05
                    145,                 1.1921,                0.83366,                 1.2798,                0.86131,                0.84159,                  0.919,                0.63017,                 1.0719,                0.67878,                  1.188,             8.2683e-05,             8.2683e-05,             8.2683e-05
                    146,                 1.1934,                0.83195,                 1.2787,                0.85971,                0.84727,                0.92137,                  0.635,                 1.0666,                0.67096,                 1.1835,             7.1681e-05,             7.1681e-05,             7.1681e-05
